country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.34,0.25,0.21,0.24,0.32,0.23,0.18,0.11,0.07,0.09,0.07,0.05,0.05,0.06
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.07,0.11,0.12,0.12,0.12,0.21,0.14,0.13,0.11,0.1,0.09,0.06,0.06,0.06,0.05,0.04,0.04,0.04
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.02,0.48,0.58,1.2,1.5,1.5,1.5,1.5,0.95,0.95,0.14
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2.1,2.1,0.78,0.26,0.65,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.05,0.06,0.1,0.09,0.09,0.1,0.09,0.1,0.11,0.14,0.16,0.12,0.12,0.16,0.17,0.15,0.13,0.17,0.15,0.11,0.07,0.06,0.06,0.06,,,,,,,,,,,
Austria,0.04,0.04,0.04,0.05,0.06,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.06,0.04,0.06,0.05,0.04,0.07,0.07,0.05,0.04,0.05,0.04,0.04,0.03,0.04,0.07,0.07,0.08,0.08,0.05,0.05,0.03,0.03,0.03,0.03,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,1,2,0.8,0.2,0.12,0.14,0.1,0.1,0.1,0.07,0.07,0.07,0.09,0.1
Bahamas,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.11,0.09,0.1,0.09,0.1,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.08,0.08,0.08,0.08,0.08,0.08,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.06,0.06,0.06,0.07,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.07,0.22,0.2,0.16,0.16,0.13,0.08,0.08,0.08,0.14,0.14,0.18,0.12,0.08,0.1,0.13,0.13,0.09,0.09,0.1,0.1,0.08,0.08,0.08,0.08,0.1,0.12
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2.1,4.8,0.66,0.08,0.09,0.1,0.23,0.8,0.48,0.38,0.28,0.17,0.11,0.1
Belgium,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.05,0.05,0.05,0.04,0.05,0.08,0.07,0.06,0.05,0.08,0.09,0.06,0.09,0.09,0.06,0.11,0.12,0.15,0.12,0.1,0.11,0.1,0.08,0.07,0.08,0.1,0.11,0.09,0.08,0.05,0.05,0.03,0.03,0.03,0.03,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.08,0.1,0.14,0.15,0.14,0.12,0.12,0.2,0.12,0.12,0.1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Benin,,,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.06,0.08,0.08,0.08,0.08,0.08,0.11,0.11,0.13,0.11,0.11,0.11,0.09,0.09,0.1,0.11,0.11,0.11,0.13,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.04
Bolivia,,,,,,,,,,0.19,0.19,0.19,0.19,0.19,0.19,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.12,0.13,0.11,0.11,0.13,0.13,0.13,0.13,0.13,0.18,0.2,0.26,0.37,0.61,1.49,,,,,,,,,,,,0.17,0.13,0.14,0.13,0.1,0.09,0.13,0.08,0.06,0.05,0.05
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,0.07,0.06,0.06,0.09,0.12,0.11,0.09,0.09,0.09,0.09,0.07,0.07,0.09,0.12,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.14,0.14,0.14,0.15,0.14,0.14,0.15,0.15
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.45,0.39,0.21,0.19,0.21,0.3,0.24,0.25,0.25,0.2
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.41,0.52,0.72,0.34,1.8,0.07,0.05,0.04,0.05,0.05,0.03,0.03,0.02,0.02,0.03
Burkina Faso,,,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.06,0.08,0.08,0.08,0.08,0.08,0.11,0.11,0.13,0.11,0.11,0.11,0.09,0.09,0.1,0.11,0.11,0.11,0.13,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.04
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.05,0.07,0.07,0.07,0.09,0.1,0.11,0.1,0.1,0.1,0.1,0.12,0.12,0.12,0.14,0.14,0.16,0.15,0.15,0.15,0.11
Cameroon,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.1,0.1,0.11,0.11,0.12,0.12,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05
Canada,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.04,0.05,0.04,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.07,0.08,0.06,0.05,0.05,0.07,0.09,0.09,0.09,0.08,0.11,0.14,0.17,0.15,0.1,0.1,0.1,0.09,0.08,0.09,0.11,0.12,0.12,0.08,0.07,0.04,0.07,0.06,0.03,0.05,0.05,0.05,0.06,0.03,0.03,0.03,0.03,0.04,0.05
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.1,0.09,0.09,0.09,0.09
Central African Republic,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.1,0.1,0.11,0.11,0.12,0.12,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.05
Chad,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.1,0.1,0.11,0.11,0.12,0.12,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.05
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.14,0.08,0.12,0.08,0.09,0.07,0.09,0.07,0.03,0.02,0.02,0.05,0.05
